"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"Categories split flaky,test and product","8","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"Should appear under Test defects (broken)","15","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","121","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","resetMakesTestOrderIndependent"
"","114","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"Should appear under Product defects","46","productDefect()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"","97","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Should appear under Test defects (broken)","5","brokenDefect1()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
