"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","154","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","138","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","resetMakesTestOrderIndependent"
"Should appear under Test defects (broken)","3","brokenDefect()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","97","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","countsOnlyPersistedTestOrders"
"","88","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"Should appear under Product defects","18","productDefect()","","2026-07-10","failed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"Categories split flaky,test and product","1","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
