"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","resetMakesTestOrderIndependent"
"Should appear under Product defects","50","productDefect()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"Should appear under Test defects (broken)","6","brokenDefect1()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"Should appear under Test defects (broken)","13","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","106","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","70","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"Categories split flaky,test and product","13","categoriesPutGenericFlakyRules()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"","85","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","countsOnlyPersistedTestOrders"
