"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"Should appear under Test defects (broken)","6","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","107","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Should appear under Product defects","59","productDefect()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"","87","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"Should appear under Test defects (broken)","3","brokenDefect1()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"Categories split flaky,test and product","5","categoriesPutGenericFlakyRules()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"","117","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","140","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","resetMakesTestOrderIndependent"
