"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Testcontainer","0","Datamigration And Test Container Test","4","0","","0"
"2","Framework Hardening","1","Reporting Insights","1","1","Categories","0"
