"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Should appear under Product defects","54","productDefect()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"Categories split flaky,test and product","10","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"","78","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"Should appear under Test defects (broken)","10","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","102","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"Should appear under Test defects (broken)","9","brokenDefect1()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"","125","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","resetMakesTestOrderIndependent"
