"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","resetMakesTestOrderIndependent"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"","76","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"","94","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Should appear under Product defects","35","productDefect()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"Should appear under Test defects (broken)","3","brokenDefect1()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"Should appear under Test defects (broken)","4","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"","101","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.gradleproject.tests.OrderTestIT","com.gradleproject.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"Categories split flaky,test and product","5","categoriesPutGenericFlakyRules()","","2026-07-11","failed","2026-07-11","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
